"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "TypeScript JSX", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\utils\Constants.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 5, 53
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\utils\jwrtConverter.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\utils\numberFormatter.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\utils\reducerCreateQueryParams.ts", "TypeScript", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 10, 91
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\utils\timeAdjustment.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\vite-env.d copy.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\tsconfig.node.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\akito\Learning\FPT\GradProject\bookshop-frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 7082, 21, 18, 19, 291, 8008, 1, 13, 0, 582, 502, 16537
